date,programme1,programme2,programme3
2026-10-04,Messe matin,Réunion chorale,Confession
2026-10-05,Messe soir,Réunion chorale,
2026-10-06,Messe matin,Réunion chorale,
2026-10-07,Messe soir,Réunion chorale,
2026-10-09,Messe matin,,
2026-10-10,Messe soir,,Confession
2026-10-11,Messe soir,Réunion chorale,Confession
2026-10-12,Messe matin,,
2026-10-14,Messe matin,,
2026-10-16,Messe soir,Réunion chorale,
2026-10-17,Messe soir,Réunion chorale,
2026-10-18,Messe matin,Réunion chorale,Confession
2026-10-19,Messe soir,Réunion chorale,Confession
2026-10-21,Messe soir,,Confession
2026-10-22,Messe soir,,
2026-10-23,Messe matin,Réunion chorale,
2026-10-25,Messe matin,,
2026-10-27,Messe matin,Réunion chorale,
2026-10-29,Messe matin,Réunion chorale,
2026-10-30,Messe soir,Réunion chorale,Confession
2026-10-31,Messe soir,Réunion chorale,
