date,programme1,programme2,programme3
2025-07-01,Messe soir,Réunion chorale,
2025-07-03,Messe soir,Réunion chorale,Confession
2025-07-04,Messe soir,Réunion chorale,
2025-07-05,Messe soir,Réunion chorale,Confession
2025-07-07,Messe matin,,
2025-07-08,Messe soir,Réunion chorale,Confession
2025-07-10,Messe matin,,
2025-07-11,Messe soir,Réunion chorale,
2025-07-12,Messe soir,Réunion chorale,
2025-07-13,Messe soir,,Confession
2025-07-14,Messe soir,,
2025-07-17,Messe soir,Réunion chorale,Confession
2025-07-18,Messe soir,Réunion chorale,
2025-07-19,Messe soir,,
2025-07-21,Messe matin,,
2025-07-23,Messe matin,Réunion chorale,Confession
2025-07-24,Messe matin,Réunion chorale,Confession
2025-07-25,Messe soir,Réunion chorale,Confession
2025-07-26,Messe matin,Réunion chorale,Confession
2025-07-28,Messe matin,,Confession
2025-07-30,Messe matin,,
2025-07-31,Messe matin,Réunion chorale,
