date,programme1,programme2,programme3
2025-08-04,Messe soir,Réunion chorale,
2025-08-05,Messe matin,Réunion chorale,
2025-08-07,Messe matin,Réunion chorale,Confession
2025-08-08,Messe matin,Réunion chorale,
2025-08-09,Messe matin,,Confession
2025-08-10,Messe matin,,
2025-08-12,Messe matin,,
2025-08-13,Messe matin,,
2025-08-14,Messe soir,Réunion chorale,
2025-08-16,Messe matin,,Confession
2025-08-17,Messe matin,Réunion chorale,Confession
2025-08-18,Messe matin,,
2025-08-19,Messe soir,Réunion chorale,
2025-08-20,Messe soir,,
2025-08-21,Messe matin,,Confession
2025-08-22,Messe matin,,Confession
2025-08-24,Messe soir,Réunion chorale,Confession
2025-08-25,Messe soir,Réunion chorale,
2025-08-26,Messe matin,Réunion chorale,
2025-08-27,Messe soir,,Confession
2025-08-30,Messe matin,Réunion chorale,
